"","name","country.etc","pop","lat","long","capital"
"9847","Druzhba","KAZ",101,45.25,82.48,0
"9848","Druzhba","UKR",5102,52.04,33.94,0
"9849","Druzhba","UZB",17480,41.19,61.28,0
"9850","Druzhkivka","UKR",61767,48.62,37.55,0
"9851","Dryden","CAN",7012,49.78,-92.83,0
"9852","Drymou","CYP",97,34.93,32.52,0
"9853","Drzimurec","HRV",952,46.41,16.57,0
"9854","Dsegh","ARM",2472,40.96,44.65,0
"9855","Duayaw Nkwanta","GHA",14488,7.17,-2.1,0
"9856","Dub nad Moravou","CZE",1532,49.48,17.28,0
"9857","Duba","CZE",1753,50.52,14.55,0
"9858","Dubai","ARE",1182439,25.27,55.33,0
"9859","Dubasari","MDA",22471,47.27,29.16,0
"9860","Dubbo","AUS",29149,-32.25,148.6,0
"9861","Dubendorf","CHE",22446,47.4,8.63,0
"9862","Dubi","CZE",7573,50.68,13.78,0
"9863","Dubivs'kyy","UKR",4347,48.07,39.13,0
"9864","Dublin","IRL",1030431,53.33,-6.25,1
"9865","Dublin","USA",40791,37.72,-121.91,0
"9866","Dublyany","UKR",8080,49.9,24.09,0
"9867","Dubna","RUS",60472,56.75,37.15,0
"9868","Dubnany","CZE",6649,48.92,17.09,0
"9869","Dubnica","SVK",26779,48.97,18.18,0
"9870","Dubno","UKR",37348,50.42,25.75,0
"9871","Dubove","UKR",8821,48.17,23.89,0
"9872","Dubovka","RUS",15273,49.06,44.81,0
"9873","Dubrava","HRV",1283,45.83,16.06,0
"9874","Dubravica","BIH",4018,44.44,18.12,0
"9875","Dubreka","GIN",10482,9.8,-13.52,0
"9876","Dubreuil","MUS",2750,-20.3,57.59,0
"9877","Dubrovcan","HRV",819,46.03,15.8,0
"9878","Dubrovna","BLR",9476,54.58,30.69,0
"9879","Dubrovnik","HRV",27920,42.66,18.07,0
"9880","Dubrovytsya","UKR",9201,51.57,26.57,0
"9881","Dubti","ETH",27459,11.74,41.08,0
"9882","Dubuque","USA",57027,42.5,-90.69,0
"9883","Duce","HRV",1650,43.44,16.67,0
"9884","Duchcov","CZE",9050,50.6,13.75,0
"9885","Ducheng","CHN",98131,23.25,111.52,0
"9886","Duck Lake","CAN",5632,49.23,-116.63,0
"9887","Ducos","MTQ",17774,14.57,-60.98,0
"9888","Duda","ROU",5028,46.75,28.03,0
"9889","Dudelange","LUX",18177,49.48,6.08,0
"9890","Duderstadt","DEU",22882,51.52,10.27,0
"9891","Dudestii Vechi","ROU",5724,46.05,20.48,0
"9892","Dudingen","CHE",7233,46.85,7.2,0
"9893","Dudinka","RUS",23130,69.41,86.18,0
"9894","Dudley","GBR",199918,52.5,-2.08,0
"9895","Duekoue","CIV",48549,6.74,-7.35,0
"9896","Dueville","ITA",13854,45.64,11.55,0
"9897","Duffel","BEL",16009,51.1,4.52,0
"9898","Dugny","FRA",11092,48.95,2.42,0
"9899","Dugopolje","HRV",2690,43.58,16.6,0
"9900","Dugulubgey","RUS",21186,43.66,43.54,0
"9901","Duhan","QAT",7457,25.43,50.79,0
"9902","Duhnah","SAU",5221,25.36,43.62,0
"9903","Duisburg","DEU",502251,51.43,6.75,0
"9904","Duitama","COL",93699,5.83,-73.02,0
"9905","Duiven","NLD",25135,51.96,6.01,0
"9906","Duiwelskloof","ZAF",24802,-23.69,30.14,0
"9907","Dujuma","SOM",2481,1.26,42.56,0
"9908","Duki","PAK",6529,30.15,68.56,0
"9909","Dukinfield","GBR",19395,53.48,-2.08,0
"9910","Dukku","NGA",8197,11.24,4.91,0
"9911","Dukstas","LTU",1009,55.54,26.33,0
"9912","Duku","NGA",17443,10.82,10.77,0
"9913","Dukuhturi","IDN",99977,-6.9,109.08,0
"9914","Dukwi","BWA",2071,-20.58,26.42,0
"9915","Dulag","PHL",10257,10.95,125.03,0
"9916","Dulao","PHL",7479,10.54,122.94,0
"9917","Dulce Nombre","HND",3624,14.85,-88.84,0
"9918","Dulce Nombre de Culmi","HND",2130,15.1,-85.53,0
"9919","Dulcesti","ROU",4836,46.97,26.77,0
"9920","Duleek","IRL",2450,53.65,-6.42,0
"9921","Dullewala","PAK",49788,31.84,71.43,0
"9922","Dulmen","DEU",47662,51.84,7.3,0
"9923","Dulovac","HRV",920,45.67,17.43,0
"9924","Dulovo","BGR",6712,43.83,27.14,0
"9925","Duluth","USA",84472,46.78,-92.12,0
"9926","Dum Dum","IND",128754,22.63,88.42,0
"9927","Duma","PSE",2219,32.05,35.37,0
"9928","Duma","SYR",114761,33.58,36.39,0
"9929","Dumadumane","BWA",881,-24.59,25.87,0
"9930","Dumaguete","PHL",115768,9.32,123.31,0
"9931","Dumai","IDN",149002,1.68,101.45,0
"9932","Dumangas","PHL",9050,10.83,122.72,0
"9933","Dumbarton","GBR",19767,55.95,-4.57,0
"9934","Dumbea","NCL",20106,-22.17,166.44,0
"9935","Dumbrava Rosie","ROU",7074,46.88,26.43,0
"9936","Dumbraveni","ROU",8084,46.24,24.58,0
"9937","Dumbraveni","ROU",8092,47.65,26.42,0
"9938","Dumbutu","GMB",828,13.35,-15.83,0
"9939","Dumesti","ROU",4733,47.18,27.35,0
"9940","Dumfries","GBR",30607,55.07,-3.63,0
"9941","Dumingag","PHL",6633,8.17,123.35,0
"9942","Dumitresti","ROU",5284,45.57,26.92,0
"9943","Dumlupinar","TUR",3146,38.87,30,0
"9944","Dumraon","IND",51729,25.55,84.15,0
"9945","Dunabogdany","HUN",3087,47.78,19.03,0
"9946","Dunafoldvar","HUN",9038,46.8,18.91,0
"9947","Dunaharaszti","HUN",17126,47.35,19.09,0
"9948","Dunajska Streda","SVK",23670,48,17.61,0
"9949","Dunakeszi","HUN",30518,47.63,19.12,0
"9950","Dunapataj","HUN",3682,46.64,18.99,0
"9951","Dunaszekcso","HUN",2140,46.08,18.76,0
"9952","Dunaszentgyorgy","HUN",2614,46.52,18.83,0
"9953","Dunaujvaros","HUN",53359,46.98,18.93,0
"9954","Dunavarsany","HUN",6071,47.29,19.09,0
